l1_sets,l1_ways,l2_sets,l2_ways,l1_hit_rate,l1_miss_rate,l2_hit_rate,l2_miss_rate
64,1,512,8,58.28,41.72,94.39,5.61
64,2,512,8,73.78,26.22,91.08,8.92
64,4,512,8,85.30,14.70,84.08,15.92
64,8,512,8,92.71,7.29,67.91,32.09
64,16,512,8,96.91,3.09,24.17,75.83
